,Selection_Freq,Avg_Std_Coef,Sign_Consistency,CI_Lower,CI_Upper,p_approx
avg_word_length,1.0,0.060145724792534404,1.0,0.03336489801852448,0.09226105707632984,0.0
n_VERB_VerbForm_Fin,1.0,-0.1197211731881049,1.0,-0.1409533159312298,-0.10181422838953454,0.0
n_VERB_VerbForm_Inf,1.0,0.03220129806127426,1.0,0.011782496038235835,0.05015888625707167,0.0
n_VERB_VerbForm_Part,1.0,0.00660671721496313,0.6,-0.006539387839155967,0.026207687011808176,0.31
n_VERB_Mood_Ind,1.0,-0.02910866482084077,1.0,-0.040689596357940803,-0.016545065914451967,0.0
n_VERB_Number_Sing,1.0,0.054882157544295665,1.0,0.042301194851012115,0.06650614323779326,0.0
n_NOUN_Number_Plur,1.0,0.09553588478152827,1.0,0.07703293403794945,0.11263470479762648,0.0
n_PRON_PronType_Art,1.0,-0.0013300213050772198,0.2,-0.009631693255673236,0.007373329806307452,0.8
n_PRON_PronType_Dem,1.0,0.0337576191374542,1.0,0.02296514765954709,0.04330176216153931,0.0
n_PRON_PronType_Ind,1.0,0.01649290924535637,1.0,0.004572616315231247,0.0290857885272298,0.02
n_PRON_PronType_Rel,1.0,0.022079249285179996,1.0,0.011519913162026016,0.03483023813013414,0.0
n_PRON_Reflex_Yes,1.0,-0.0013317379887724697,0.2,-0.01043114630792218,0.007621681249244702,0.77
n_PRON_Gender_Fem,1.0,0.01582658912859164,1.0,0.005144108970599264,0.025962421678642215,0.0
n_PRON_Gender_Masc,1.0,0.030754372756248333,1.0,0.020380745715220416,0.04028150819752672,0.0
n_PRON_Gender_Neut,1.0,0.04025673414757312,1.0,0.030649920894478246,0.05065783558323144,0.0
n_ADJ_Degree_Cmp,1.0,0.018995794060354905,1.0,0.008859674653148637,0.028075563256518814,0.0
n_ADJ_Degree_Sup,1.0,-0.028251613525815088,1.0,-0.037939753391367806,-0.0192480946207607,0.0
n_DET_Number_Plur,1.0,0.04162124453906062,1.0,0.032906923001987755,0.05186756191838859,0.0
n_DET_Number_Sing,1.0,0.026646326029851973,1.0,0.016256572356231642,0.03603343284109921,0.0
n_DET_Definite_Def,1.0,0.07812947347306001,1.0,0.05543245887318362,0.09855840560322382,0.0
n_DET_Definite_Ind,1.0,0.012101885236224586,1.0,0.0003925919846748284,0.025238092105344948,0.02
n_NUM_Number_Sing,1.0,0.008777995328713895,1.0,0.0,0.023363046387390566,0.03
n_ADV_Degree_Cmp,1.0,0.0006050519825524299,0.2,-0.008545112878168422,0.011058522360335693,0.79
n_ADV_Degree_Pos,1.0,-0.032818222512194586,1.0,-0.041621322640961626,-0.023875218239062256,0.0
n_ADV_Degree_Sup,1.0,0.0017204294541947988,0.6,-0.007611319777187255,0.010977304461196172,0.7
n_PROPN_Number_Plur,1.0,0.17420567543423288,1.0,0.16290763843652778,0.1842040138349475,0.0
n_PUNCT_PunctType_Brck,1.0,-0.15952975174878697,1.0,-0.17743973369970667,-0.1425705993938544,0.0
n_PUNCT_PunctType_Comm,1.0,0.24172442123307464,1.0,0.20473526406001155,0.28122142965986996,0.0
n_PUNCT_PunctType_Dash,1.0,0.22616490453840762,1.0,0.05429270051389439,0.42218821615694724,0.0
n_PUNCT_PunctType_Peri,1.0,0.032817523642732334,1.0,0.01728792752395094,0.046245576503284085,0.0
n_PUNCT_PunctType_Quot,1.0,0.059527113483941775,1.0,0.035054021512045994,0.0854312334294517,0.0
n_CCONJ_ConjType_Cmp,1.0,0.058047825852676926,1.0,0.0295120348343299,0.09261556439863412,0.0
tree_width,1.0,0.007387323629832705,1.0,-0.008403222875809958,0.024694924520713566,0.31
tree_depth,1.0,-0.050926637178021664,1.0,-0.07117477956428032,-0.032445661449006465,0.0
tree_branching,1.0,-0.06213036058899538,1.0,-0.08888290040089039,-0.035341145579944694,0.0
n_dependency_acl,1.0,0.05909709043856929,1.0,0.04392887410017472,0.07068753047149376,0.0
n_dependency_acomp,1.0,0.0005877701456234652,0.2,-0.015117715088198608,0.012514790322308967,0.9
n_dependency_advcl,1.0,0.1712604577673822,1.0,0.15710963011773965,0.18686767432770748,0.0
n_dependency_agent,1.0,-0.024938611300211654,1.0,-0.03484325320109292,-0.014680261185784305,0.0
n_dependency_attr,1.0,-0.01572027682830276,1.0,-0.03758475617568637,-0.0018240827571724696,0.02
n_dependency_aux,1.0,0.06778330155334103,1.0,0.02884228279251475,0.0989901504987519,0.0
n_dependency_case,1.0,0.1256172786200134,1.0,0.11061674516335498,0.13949317640382847,0.0
n_dependency_compound,1.0,-0.11612690959864913,1.0,-0.13571305686512902,-0.09705540193618618,0.0
n_dependency_conj,1.0,-0.09447685669254408,1.0,-0.14136902389989475,-0.04379397345030807,0.0
n_dependency_csubj,1.0,-0.002347227699843585,1.0,-0.01238550394757419,0.006468677390146939,0.59
n_dependency_csubjpass,1.0,-0.005828743026991772,1.0,-0.014926170049428039,0.002682170217964555,0.18
n_dependency_dep,1.0,0.024638392069524586,1.0,-0.0075044694277896385,0.010816119697171412,0.55
n_dependency_dobj,1.0,0.04629349705511509,1.0,0.009386587925394284,0.03512942538708282,0.0
