feature,abs_gap,rel_gap,arxiv_abstracts_100,congress_politics_2026_lines_100,human_wp_stories_100,news_wsj_100
root_intj_var,0.86879,3.4626942867170407,0.0,0.032850000000000004,0.86879,0.10196
corr_intj_var,0.61432,3.462664674345581,0.0,0.02323,0.61432,0.0721
simp_intj_var,0.50802,3.351939803695304,0.0,0.01822,0.50802,0.08
t_sent,34.650000000000006,1.753764393179615,5.59,11.54,40.24,21.66
corr_sym_var,0.25635,1.4153209031590288,0.16898,0.07751999999999999,0.14413,0.33387
root_sym_var,0.36251,1.41518401212073,0.23898,0.10965,0.20384,0.47216
corr_sconj_var,0.9087299999999999,1.3946507136170005,0.61261,0.20121,1.10994,0.68257
root_sconj_var,1.28508,1.3945750593937232,0.8664499999999999,0.28457,1.56965,0.96527
t_punct,79.03,1.372703981911977,17.35,41.44,96.38,75.12
t_stopword,227.27000000000004,1.3696533228790646,58.83,114.37,286.1,204.43
corr_adv_var,2.09815,1.3660853505528827,1.11833,0.5294,2.62755,1.86826
root_adv_var,2.96713,1.3660536492724353,1.5815199999999998,0.74869,3.71582,2.6421499999999996
simp_punct_var,0.31406,1.2308596687078062,0.29419,0.43869,0.12462999999999999,0.16311
simp_sym_var,0.23454,1.1655319725412117,0.2,0.0986,0.17318,0.33314
t_word,458.39,1.1397987157064162,155.01,285.79,613.4,554.47
root_num_var,1.83035,1.0929811773915699,1.14943,1.3232300000000001,1.24612,2.97978
corr_num_var,1.2942200000000001,1.0929712100082158,0.81277,0.93566,0.8811,2.10699
simp_sconj_var,0.4869000000000001,1.0436963419317786,0.63156,0.1563,0.6432000000000001,0.435
t_char,1668.98,1.0115214216009918,738.35,1234.99,2219.21,2407.33
corr_verb_var,2.7816399999999994,0.9911172709067945,2.217,1.45908,4.24072,3.3094799999999998
root_verb_var,3.9337700000000004,0.9911006102802844,3.13534,2.06347,5.997240000000001,4.68032
t_uword,142.66000000000003,0.9099955348541815,86.76,85.64,228.3,226.38
simp_pron_var,0.40873999999999994,0.9078823868553573,0.6335999999999999,0.38829,0.22486,0.5540999999999999
root_propn_var,2.3273299999999995,0.8524627990101319,1.80667,3.01038,1.96945,4.1339999999999995
corr_propn_var,1.64564,0.8524489955361222,1.2775100000000001,2.12871,1.39257,2.92315
root_adj_var,2.73083,0.8219808531187459,3.24895,1.62596,4.35679,4.05732
corr_adj_var,1.93099,0.8219776941844128,2.29734,1.14975,3.08074,2.86897
corr_pron_var,0.64398,0.7469639140884045,0.79302,0.47318,1.11716,1.06516
root_pron_var,0.9107099999999999,0.7469320713076235,1.12155,0.6692400000000001,1.57995,1.5063300000000002
corr_noun_var,2.5134000000000003,0.7226800749815284,3.03226,2.16253,4.67593,4.040830000000001
root_noun_var,3.5544000000000002,0.7226641223668421,4.28829,3.05828,6.61268,5.71462
simp_cconj_var,0.22610999999999998,0.7068532954855193,0.46110999999999996,0.26957000000000003,0.235,0.31385
simp_adv_var,0.4699499999999999,0.6949738422537679,0.82095,0.35100000000000003,0.77358,0.75932
simp_aux_var,0.24462,0.6462666341368736,0.40514000000000006,0.47946,0.23484,0.39460999999999996
simp_part_var,0.22747000000000006,0.6153991813018447,0.50014,0.33852000000000004,0.27266999999999997,0.36719
corr_cconj_var,0.23980000000000007,0.5154162759875419,0.52974,0.29875999999999997,0.49396,0.53856
root_cconj_var,0.33914000000000005,0.5153868356831957,0.74918,0.42253999999999997,0.69872,0.76168
simp_det_var,0.14848999999999996,0.5144782526848104,0.31094,0.36646999999999996,0.21798,0.2591
root_adp_var,0.9706899999999996,0.5063641767225716,1.85165,1.4620900000000001,2.4327799999999997,1.9213999999999998
corr_adp_var,0.6862999999999999,0.5063104366078672,1.3093299999999999,1.03384,1.72014,1.3586600000000002
simp_adp_var,0.21158000000000005,0.44979219496424877,0.46558999999999995,0.6085200000000001,0.41052999999999995,0.39694
corr_part_var,0.19299999999999995,0.3989849648841858,0.46710999999999997,0.36441,0.54598,0.55741
root_part_var,0.27293999999999996,0.3989388518866957,0.66069,0.51538,0.77227,0.7883199999999999
corr_aux_var,0.26361,0.3963508829277869,0.60758,0.51615,0.75688,0.77976
root_aux_var,0.37273,0.3962704454135197,0.85927,0.73,1.0703799999999999,1.10273
corr_det_var,0.29046000000000005,0.3894152933392566,0.78643,0.57321,0.86367,0.76024
root_det_var,0.4107200000000001,0.3893495748225763,1.11225,0.8107099999999999,1.22143,1.0751600000000001
simp_propn_var,0.24024999999999996,0.33927985067551664,0.7211799999999999,0.84387,0.60362,0.6638
root_punct_var,0.2677999999999999,0.27988911010847095,1.03948,1.07819,0.89917,0.81039
corr_punct_var,0.18933,0.27984007408033224,0.73497,0.76237,0.63588,0.57304
simp_adj_var,0.20662999999999998,0.2619009138433057,0.81348,0.65545,0.86208,0.8248399999999999
simp_noun_var,0.18374000000000013,0.2474821109554919,0.71854,0.8375400000000001,0.7598699999999999,0.6537999999999999
simp_verb_var,0.19392999999999994,0.2457002765180315,0.90537,0.7114400000000001,0.74611,0.79426
simp_num_var,0.11729999999999985,0.1636262818073849,0.70289,0.67983,0.68766,0.7971299999999999
simp_space_var,0.0,0.0,0.0,0.0,0.0,0.0
root_space_var,0.0,0.0,0.0,0.0,0.0,0.0
corr_space_var,0.0,0.0,0.0,0.0,0.0,0.0
