,arxiv,hh_stories,politics,qwen_advisor,qwen_journalist,qwen_writer,wp_stories,wsj
simp_adj_var,0.81348,0.8833,0.65545,0.8301999999999999,0.8214499999999999,0.84335,0.86208,0.8248399999999999
simp_adp_var,0.46558999999999995,0.77905,0.6085200000000001,0.36245,0.3657,0.3727,0.41052999999999995,0.39694
simp_adv_var,0.82095,0.8542,0.35100000000000003,0.72695,0.76125,0.79915,0.77358,0.75932
simp_aux_var,0.40514000000000006,0.45735000000000003,0.47946,0.22275,0.2725,0.26670000000000005,0.23484,0.39460999999999996
simp_cconj_var,0.46110999999999996,0.5291,0.26957000000000003,0.26225,0.24315000000000003,0.27664999999999995,0.235,0.31385
simp_det_var,0.31094,0.49905,0.36646999999999996,0.0736,0.07239999999999999,0.0697,0.21798,0.2591
simp_intj_var,0.0,0.0,0.01822,0.0,0.0,0.0,0.50802,0.08
simp_noun_var,0.71854,0.8167500000000001,0.8375400000000001,0.6829500000000001,0.72485,0.756,0.7598699999999999,0.6537999999999999
simp_num_var,0.70289,0.1,0.67983,0.50005,0.475,0.525,0.68766,0.7971299999999999
simp_part_var,0.50014,0.53925,0.33852000000000004,0.3651,0.35815,0.3231,0.27266999999999997,0.36719
simp_pron_var,0.6335999999999999,0.54685,0.38829,0.24620000000000003,0.256,0.26505,0.22486,0.5540999999999999
simp_propn_var,0.7211799999999999,0.46805,0.84387,0.38565,0.3355,0.3527,0.60362,0.6638
simp_punct_var,0.29419,0.21395,0.43869,0.07225000000000001,0.07235,0.07335,0.12462999999999999,0.16311
simp_sconj_var,0.63156,0.70835,0.1563,0.60415,0.6284,0.7466999999999999,0.6432000000000001,0.435
simp_sym_var,0.2,0.0,0.0986,0.0,0.0,0.0,0.17318,0.33314
simp_verb_var,0.90537,0.8561,0.7114400000000001,0.762,0.7586,0.7971,0.74611,0.79426
simp_space_var,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
root_adj_var,3.24895,1.704,1.62596,4.29735,4.4536,4.129250000000001,4.35679,4.05732
root_adp_var,1.85165,2.20125,1.4620900000000001,2.35715,2.4069,2.3935,2.4327799999999997,1.9213999999999998
root_adv_var,1.5815199999999998,1.42385,0.74869,2.69285,2.709,2.6686,3.71582,2.6421499999999996
root_aux_var,0.85927,1.0371000000000001,0.73,0.6491,0.7285,0.67675,1.0703799999999999,1.10273
root_cconj_var,0.74918,0.78835,0.42253999999999997,0.7755,0.76025,0.8164999999999999,0.69872,0.76168
root_det_var,1.11225,1.1345,0.8107099999999999,0.47895000000000004,0.49295,0.46114999999999995,1.22143,1.0751600000000001
root_intj_var,0.0,0.0,0.032850000000000004,0.0,0.0,0.0,0.86879,0.10196
root_noun_var,4.28829,2.6498,3.05828,6.1979500000000005,6.667700000000001,6.8065,6.61268,5.71462
root_num_var,1.14943,0.1,1.3232300000000001,0.63535,0.5792499999999999,0.6121,1.24612,2.97978
root_part_var,0.66069,0.8708,0.51538,0.8743000000000001,0.94215,0.8374499999999999,0.77227,0.7883199999999999
