,abs_gap,rel_gap,qwen4b_advisor,qwen4b_journalist,qwen4b_writer
simp_sconj_var,0.14255000000000007,0.10552615012360655,0.60415,0.6284000000000001,0.7467
simp_aux_var,0.04974999999999996,0.10045431579918354,0.22275,0.27249999999999996,0.26670000000000005
simp_propn_var,0.05015000000000003,0.06954170412599088,0.38565000000000005,0.3355,0.3527
root_pron_var,0.17600000000000038,0.06502382973176803,1.26535,1.37545,1.4413500000000004
corr_pron_var,0.1243499999999993,0.06497713909080191,0.8947000000000003,0.97255,1.0190499999999996
simp_cconj_var,0.03349999999999992,0.06444786443930753,0.26225,0.24315000000000003,0.27664999999999995
simp_part_var,0.04200000000000004,0.061028770617511295,0.3651,0.35815,0.32309999999999994
corr_part_var,0.07414999999999994,0.05893573893499518,0.6181999999999999,0.66615,0.5920000000000001
root_part_var,0.10470000000000013,0.058833445685079054,0.8743000000000001,0.94215,0.8374499999999999
corr_aux_var,0.056150000000000144,0.057645911341670596,0.45894999999999986,0.5151,0.4785499999999999
root_aux_var,0.07940000000000003,0.05763646917999676,0.6491,0.7285,0.67675
simp_noun_var,0.07305000000000006,0.05076618364031681,0.68295,0.7248500000000001,0.756
corr_sconj_var,0.07315000000000005,0.050652633001660084,0.6855,0.75865,0.7559
root_sconj_var,0.10330000000000017,0.05058022814935119,0.9695,1.0728000000000002,1.06915
simp_num_var,0.050000000000000044,0.04999999995000004,0.50005,0.475,0.525
simp_adv_var,0.07220000000000015,0.047310136919395854,0.7269499999999999,0.7612500000000001,0.79915
root_noun_var,0.6085499999999975,0.046795519991479996,6.1979500000000005,6.667699999999999,6.806499999999998
corr_noun_var,0.4303000000000017,0.046794627801990875,4.382599999999999,4.714899999999999,4.812900000000001
root_num_var,0.05610000000000015,0.04618804540903351,0.6353500000000001,0.5792499999999999,0.6121
corr_num_var,0.03964999999999996,0.04617713847763678,0.44915000000000005,0.4095000000000001,0.43279999999999996
t_char,141.89999999999986,0.045173818922690276,1601.85,1641.55,1499.65
t_word,32.89999999999998,0.04052223180189612,398.2,422.4,389.5
t_stopword,13.099999999999994,0.03952926976451559,159.15,172.25,160.65
root_adj_var,0.3243500000000008,0.03779047751763229,4.297349999999999,4.453600000000001,4.12925
corr_adj_var,0.22924999999999907,0.0377736218950619,3.03875,3.1491499999999997,2.9199000000000006
simp_pron_var,0.018850000000000033,0.03687041557580366,0.24619999999999997,0.256,0.26505
root_cconj_var,0.05625000000000002,0.03567464719475211,0.7755000000000001,0.7602499999999999,0.8164999999999999
corr_cconj_var,0.03974999999999995,0.035655020822841575,0.5483,0.53755,0.5772999999999999
corr_det_var,0.022700000000000053,0.03365455888264714,0.33859999999999996,0.3486,0.32589999999999997
root_det_var,0.03179999999999983,0.03332983960451734,0.47895000000000004,0.4929499999999999,0.46115000000000006
root_propn_var,0.061550000000000105,0.032053118066890755,0.9909000000000001,0.92935,0.9899000000000001
corr_propn_var,0.04349999999999998,0.03204183851499568,0.70055,0.65705,0.70005
t_punct,4.100000000000001,0.03168469860871961,62.7,66.75,62.65
simp_det_var,0.0039000000000000146,0.027215631352298555,0.07360000000000001,0.07239999999999999,0.0697
t_sent,1.0500000000000007,0.026282853566300824,20.1,20.5,19.45
simp_verb_var,0.03849999999999998,0.024747701983192306,0.762,0.7586,0.7971
t_uword,7.849999999999994,0.02326960130421439,164.75,172.6,168.25
corr_verb_var,0.16409999999999902,0.02184039607886481,3.7674499999999993,3.6747500000000004,3.8388499999999994
root_verb_var,0.23189999999999866,0.021824855298872885,5.327999999999999,5.1968000000000005,5.428699999999999
simp_adp_var,0.010250000000000037,0.013942732756658239,0.36245,0.3657,0.37270000000000003
simp_adj_var,0.02189999999999992,0.013154733293395714,0.8301999999999999,0.8214500000000001,0.84335
root_adp_var,0.04974999999999996,0.010442795518425956,2.35715,2.4069,2.3935000000000004
corr_adp_var,0.03515000000000024,0.010434447030580734,1.66675,1.7019000000000002,1.6924500000000002
simp_punct_var,0.0011000000000000038,0.007554945003056722,0.07225,0.07235000000000001,0.07335
root_adv_var,0.04039999999999955,0.007512645044720118,2.6928500000000004,2.7089999999999996,2.6686
corr_adv_var,0.02845000000000031,0.007482214944052517,1.90395,1.9154000000000004,1.8869500000000001
root_punct_var,0.007400000000000073,0.006544618372207884,0.56165,0.5690500000000001,0.5683499999999999
corr_punct_var,0.0050500000000000544,0.006316052771789133,0.39725,0.40230000000000005,0.40185000000000004
simp_intj_var,0.0,0.0,0.0,0.0,0.0
root_intj_var,0.0,0.0,0.0,0.0,0.0
simp_space_var,0.0,0.0,0.0,0.0,0.0
simp_sym_var,0.0,0.0,0.0,0.0,0.0
root_sym_var,0.0,0.0,0.0,0.0,0.0
corr_intj_var,0.0,0.0,0.0,0.0,0.0
root_space_var,0.0,0.0,0.0,0.0,0.0
corr_sym_var,0.0,0.0,0.0,0.0,0.0
corr_space_var,0.0,0.0,0.0,0.0,0.0
