Feature,Coefficient
n_punct,3.5391336581931108
avg_aoa,0.8914108352539022
t_stopword,0.8031793224948316
n_dependency_aux,0.7222563688067449
n_ADJ_Degree_Pos,0.5525559673802921
n_VERB_VerbForm_Part,0.44845885686250253
tree_depth,0.41012499166190247
entropy,0.3600271927910771
avg_word_length,0.31199485578054365
n_dependency_advcl,0.3114452780750529
mattr,0.2692014130131486
n_dependency_poss,0.24216668799526625
n_dependency_neg,0.22402959923340532
n_VERB_Number_Sing,0.18899956796261833
n_sconj,0.17967014576225057
n_PROPN_Number_Sing,0.1719771405987825
n_propn,0.17000151213311623
n_high_concreteness,0.16977246808265864
n_high_Head_sensorimotor,0.1493153346080072
n_PRON_PronType_Dem,0.14432828401288447
n_high_Foot_leg_sensorimotor,0.1386459311176494
n_NOUN_Number_Plur,0.1343357816901694
n_PRON_PronType_Prs,0.134037838891828
n_dependency_case,0.12483089941371632
n_PUNCT_PunctType_Comm,0.10148248194690895
n_dependency_expl,0.06838617351635937
n_high_Auditory_sensorimotor,0.05095779167073775
n_dependency_nsubjpass,0.047610220346132714
n_high_intensity_surprise,0.04307230846148697
n_dependency_relcl,-0.002808228219815495
n_high_intensity_anger,-0.003587218980286086
n_high_intensity_trust,-0.013174420149201229
corr_det_var,-0.01402488178789014
n_PROPN_Number_Plur,-0.014251952205787503
n_high_Gustatory_sensorimotor,-0.019033205391738972
corr_num_var,-0.025957101073746134
n_adv,-0.03204832381775468
n_dependency_dobj,-0.06914827561012217
n_person,-0.07140673472357681
avg_concreteness,-0.10226585056438463
n_org,-0.11732016391229394
n_adj,-0.14817627874620865
n_PUNCT_PunctType_Dash,-0.16595020482254544
n_VERB_VerbForm_Fin,-0.17432649483303697
n_dependency_compound,-0.19879299800601907
n_dependency_prep,-0.20033788823216742
n_DET_Definite_Def,-0.22035978358856942
corr_adj_var,-0.2774334548551413
n_dependency_mark,-0.27901981280824606
simpsons_d,-0.34355166717207264
n_dependency_advmod,-0.3676420288039394
corr_verb_var,-0.37230562720045424
corr_noun_var,-0.42418228972315036
n_date,-0.4944208504110703
n_dependency_conj,-0.548218947974715
n_pron,-0.6333832541498049
tree_branching,-0.6613277559711674
n_dependency_amod,-0.6638415837679776
n_aux,-0.7535276319887957
n_part,-0.7602043875687091
n_PUNCT_PunctType_Brck,-0.7741151298963098
n_dependency_punct,-1.7935842794753412
